record_type,key,symbol,family,anchor_date,label_end_at,n_own_sessions,n_market_sessions,window_complete,crosses_dev_boundary,censoring_reason,retained,deleted,funnel_label_end_decision,label_end_match,note
boundary_anchor,sz.000027:2020-12-04,sz.000027,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.000698:2020-12-04,sz.000698,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.000786:2020-12-04,sz.000786,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.000813:2020-12-04,sz.000813,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.000912:2020-12-04,sz.000912,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.000996:2020-12-04,sz.000996,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.002012:2020-12-04,sz.002012,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.002021:2020-12-04,sz.002021,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.002023:2020-12-04,sz.002023,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.002024:2020-12-04,sz.002024,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.002030:2020-12-04,sz.002030,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.002049:2020-12-04,sz.002049,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.002059:2020-12-04,sz.002059,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.002079:2020-12-04,sz.002079,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.002098:2020-12-04,sz.002098,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.002099:2020-12-04,sz.002099,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.002129:2020-12-04,sz.002129,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.002151:2020-12-04,sz.002151,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
boundary_anchor,sz.002157:2020-12-04,sz.002157,B1,2020-12-04,,19,,False,True,crosses_dev_boundary,True,False,,,该证券自该日起的 20 自身交易日窗跨入 2021：窗口不完整、保留并标记；实际终点落在 2021，需单独授权读取后才能确定，本审计不推算、已实现 19/20 个自身交易日
