day,sess,symbol,reason,source
2019-09-30,pm,sz.000536,seat_exit,2019-09-30
2019-09-30,pm,sz.002881,seat_exit,2019-09-30
2019-10-31,pm,sz.000038,seat_exit,2019-10-31
2019-10-31,pm,sz.000056,seat_exit,2019-10-31
2019-10-31,pm,sz.002201,seat_exit,2019-10-31
2019-11-04,am,sz.002370,account_trim,2019-10-31
2019-11-22,am,sz.000595,account_trim,2019-10-31
2019-11-29,pm,sh.600734,seat_exit,2019-11-29
2019-11-29,pm,sz.000595,seat_exit,2019-11-29
2019-11-29,pm,sz.002370,seat_exit,2019-11-29
2019-11-29,pm,sz.002941,seat_exit,2019-11-29
2019-12-31,pm,sh.601808,seat_exit,2019-12-31
2019-12-31,pm,sh.603208,seat_exit,2019-12-31
2019-12-31,pm,sh.603377,seat_exit,2019-12-31
2019-12-31,pm,sz.002776,seat_exit,2019-12-31
2020-01-07,am,sh.603005,account_trim,2019-12-31
2020-01-07,pm,sh.603005,account_trim,2019-12-31
2020-01-16,am,sh.603005,take_half,2020-01-16
2020-01-21,am,sh.603005,clear,2020-01-21
2020-01-22,am,sh.603005,clear,2020-01-21
2020-01-22,pm,sh.603005,clear,2020-01-21
2020-01-23,pm,sh.600640,seat_exit,2020-01-23
2020-01-23,pm,sh.603005,seat_exit,2020-01-23
2020-01-23,pm,sh.603659,seat_exit,2020-01-23
2020-01-23,pm,sz.002624,seat_exit,2020-01-23
2020-01-23,pm,sh.603005,clear,2020-01-21
2020-02-03,am,sh.600640,stop,2020-02-03
2020-02-03,am,sh.603005,clear,2020-01-21
2020-02-03,pm,sh.600640,stop,2020-02-03
2020-02-03,pm,sh.603005,clear,2020-01-21
2020-02-04,am,sh.600640,stop,2020-02-04
2020-02-04,am,sh.601872,stop,2020-02-04
2020-02-17,am,sh.600695,account_trim,2020-01-23
2020-02-17,pm,sh.600695,account_trim,2020-01-23
2020-02-20,pm,sh.600695,account_trim,2020-01-23
2020-02-21,am,sh.600695,take_half,2020-02-21
2020-02-28,pm,sh.600695,seat_exit,2020-02-28
2020-02-28,pm,sh.600712,seat_exit,2020-02-28
2020-02-28,pm,sh.601872,seat_exit,2020-02-28
2020-02-28,pm,sz.002343,seat_exit,2020-02-28
2020-02-28,pm,sh.600712,stop,2020-02-28
2020-03-10,am,sh.600988,stop,2020-03-10
2020-03-16,pm,sz.002414,stop,2020-03-16
2020-03-17,pm,sz.000818,stop,2020-03-17
2020-03-25,am,sh.600988,account_trim,2020-02-28
2020-03-31,pm,sh.600988,seat_exit,2020-03-31
2020-03-31,pm,sh.603236,seat_exit,2020-03-31
2020-03-31,pm,sz.000818,seat_exit,2020-03-31
2020-03-31,pm,sz.002414,seat_exit,2020-03-31
2020-04-15,am,sz.002185,account_trim,2020-03-31
2020-04-27,am,sh.600734,stop,2020-04-27
2020-04-28,pm,sz.002176,stop,2020-04-28
2020-04-30,am,sz.002176,stop,2020-04-30
2020-04-30,pm,sh.600734,seat_exit,2020-04-30
2020-04-30,pm,sh.603773,seat_exit,2020-04-30
2020-04-30,pm,sz.002176,seat_exit,2020-04-30
2020-04-30,pm,sz.002185,seat_exit,2020-04-30
2020-04-30,pm,sz.002176,stop,2020-04-30
2020-05-06,am,sz.002176,stop,2020-05-06
2020-05-06,pm,sz.002176,stop,2020-05-06
2020-05-07,am,sz.002176,stop,2020-05-07
2020-05-07,pm,sz.002176,stop,2020-05-07
2020-05-28,am,sz.002618,account_trim,2020-04-30
2020-05-28,pm,sz.002618,account_trim,2020-04-30
2020-05-29,pm,sh.600100,seat_exit,2020-05-29
2020-05-29,pm,sh.600246,seat_exit,2020-05-29
2020-05-29,pm,sh.600396,seat_exit,2020-05-29
2020-05-29,pm,sz.002618,seat_exit,2020-05-29
2020-06-08,am,sh.600350,account_trim,2020-05-29
2020-06-30,pm,sh.600350,seat_exit,2020-06-30
2020-06-30,pm,sz.002503,seat_exit,2020-06-30
2020-06-30,pm,sz.002768,seat_exit,2020-06-30
2020-06-30,pm,sz.002838,seat_exit,2020-06-30
2020-07-08,am,sh.600375,account_trim,2020-06-30
2020-07-10,am,sh.603385,account_trim,2020-06-30
2020-07-14,am,sz.002382,account_trim,2020-06-30
2020-07-24,am,sz.002382,protection,2020-07-24
2020-07-31,pm,sh.600375,seat_exit,2020-07-31
2020-07-31,pm,sh.600984,seat_exit,2020-07-31
2020-07-31,pm,sh.603385,seat_exit,2020-07-31
2020-07-31,pm,sz.002382,seat_exit,2020-07-31
2020-08-06,am,sh.603718,stop,2020-08-06
2020-08-07,pm,sz.002625,account_trim,2020-07-31
2020-08-12,am,sz.002625,protection,2020-08-12
2020-08-13,am,sh.603718,stop,2020-08-13
2020-08-25,pm,sz.002625,stop,2020-08-25
2020-08-31,pm,sh.603718,seat_exit,2020-08-31
2020-08-31,pm,sz.000026,seat_exit,2020-08-31
2020-08-31,pm,sz.002625,seat_exit,2020-08-31
2020-08-31,pm,sz.002791,seat_exit,2020-08-31
