family,symbol,day,category,sig_ret_20,pool_med_20,pool_mean_20,elig_ctrl_20,fill_day,trig_to_fill,post_fill_ret_20
B2,sz.002876,2020-04-08,unmatched,0.14725118013006266,-0.0013922836228565383,0.011123344371557898,,,,
B2,sz.002202,2020-04-09,unmatched,0.01996007984032011,-0.010024849860443497,0.0022415574517811038,,,,
B2,sz.002049,2020-04-10,unmatched,0.17475239214369642,0.012662238509696055,0.03141167259383709,,,,
B2,sz.002481,2020-04-10,unmatched,0.32207792207792285,0.012662238509696055,0.03141167259383709,,,,
B2,sz.002555,2020-04-10,unmatched,0.13666811580058713,0.012662238509696055,0.03141167259383709,,,,
B2,sh.601872,2020-04-13,unmatched,-0.06938159879336336,0.008930168399028049,0.02900207898836043,,,,
B2,sh.603360,2020-04-13,unmatched,-0.11112725889475994,0.008930168399028049,0.02900207898836043,,,,
B2,sh.603859,2020-04-13,unmatched,0.15587846763540325,0.008930168399028049,0.02900207898836043,,,,
B2,sz.000550,2020-04-13,unmatched,-0.03899268887083718,0.008930168399028049,0.02900207898836043,,,,
B2,sz.002270,2020-04-14,unmatched,0.06102362204724421,-0.004345527246290781,0.011848667993281872,,,,
B2,sz.002945,2020-04-14,unmatched,-0.0489604292421193,-0.004345527246290781,0.011848667993281872,,,,
B2,sh.603799,2020-04-16,unmatched,0.037938024905879386,0.003385732945301423,0.021343737259942753,,,,
B2,sh.600346,2020-04-17,unmatched,-0.031768953068592065,-0.005539346077971019,0.012354001577196306,,,,
B2,sz.000975,2020-04-17,unmatched,0.03889481846981546,-0.005539346077971019,0.012354001577196306,,,,
B2,sz.002001,2020-04-17,unmatched,-0.07877927608232771,-0.005539346077971019,0.012354001577196306,,,,
B2,sz.002151,2020-04-17,unmatched,0.05942974922706967,-0.005539346077971019,0.012354001577196306,,,,
B2,sz.002261,2020-04-17,unmatched,-0.061606160616061945,-0.005539346077971019,0.012354001577196306,,,,
B2,sz.002324,2020-04-17,unmatched,0.029699409843117586,-0.005539346077971019,0.012354001577196306,,,,
B2,sz.000915,2020-04-17,unmatched,0.17924166985829104,-0.005539346077971019,0.012354001577196306,,,,
